Item,Part Number,BOM Structure,Unit QTY,QTY,Stock Number,Description,REV
1,Platform,Normal,1,3,,,
2,Rod,Normal,1,4,,,
3,Ball,Normal,1,1,,,
5,Roller,Normal,1,2,,,
8,Bottom_Platform,Normal,1,1,,,
9,Stepper_Bracket,Normal,1,2,,,
10,Tension_Housing,Normal,1,1,,,
11,Idler,Normal,1,1,,,
4,211-13-01,Purchased,1,2,,STANDARD MOTOR - 211-13-01, Single Shaft
6,ANSI B 18.2.4.1 M - M3 x 0.5,Purchased,1,37,,Hex Nut,
7,ANSI B18.3 - 4-48 UNF x 0.125,Purchased,1,4,,Hexagon Socket Set Screw - Flat Point,
12,ANSI B18.3.1M - M3x0.5 x 35,Purchased,1,1,,Forged Socket Head Cap Screw - Metric,
13,ANSI B18.3.1M - M2.5x0.45 x 10,Purchased,1,4,,Forged Socket Head Cap Screw - Metric,
14,ANSI B18.3.1M - M3x0.5 x 10,Purchased,1,4,,Forged Socket Head Cap Screw - Metric,
15,ANSI B18.22M - 3 N,Purchased,1,36,,Metric Plain Washers,
